,article_title
40,活力ある地域づくりはMaaSで 幕張メッセで「地方創生EXPO」開催 - 鉄道チャンネル
41,再エネで地方創生に挑む地域新電力、6月に供給開始へ 出資は県内企業のみ - 環境ビジネスオンライン
42,三重県多気市に地方創生の商業施設、4月29日に開業、7月にはHIS系列の宿泊施設もオープン - トラベルボイス（公式）
43,中村雅俊、70歳でBSテレ東新番組MC テーマは「地方創生」 - 沖縄タイムス
44,茨城県行方市とモリサワが地方創生とＳＤＧs推進を目指した「連携協力に関する包括協定」の締結に伴う、オンライン調印式を開催 - PR TIMES
45,第２期地方創生総合戦略を策定 駒ケ根市 – Nagano Nippo Web - 長野日報
46,地域創生のための総合情報誌『地域人』第67号特集「地方自治を考える」３月10日発売 - PR TIMES
47,サントリーが支援 被災３県、地方創生や地域活性化 - 47NEWS
48,群馬県と楽天、地方創生などで連携協定 - 日本経済新聞
49,「孤独」担当、厚労相から坂本地方創生相に 首相が指名 - 朝日新聞デジタル
50,コロナ対策の地方創生臨時交付金 イルミネーション事業や公用車にも（NEWSポストセブン） - Yahoo!ニュース - Yahoo!ニュース
51,地域共創プロジェクトのWebサイトを開設 - PR TIMES
52,映像制作×地方創生を強みとするDRAWING AND MANUALが、「スポーツの力で、地域力を高める魔法をかける」をテーマにしたトークイベント『LOCOVISION』開催 - PR TIMES
53,南都銀、奈良県御所市 みずほ銀と地方創生の連携協定 - 日本経済新聞
54,地方国立大の定員増容認 22年度から 地方創生寄与が条件 - 毎日新聞 - 毎日新聞
55,ANA、地方創生ロールモデル「徳島サテライトオフィス」紹介動画を放映 - FlyTeam
56,広瀬知事「地方創生を前進させる」 定例大分県議会 - 大分のニュースなら 大分合同新聞プレミアムオンライン Gate - 大分合同新聞
57,基山町で18年ぶりの分譲マンション、地方創生の新たなモデルを目指す（後）：【公式】データ・マックス NETIB-NEWS - NET-IB NEWS
58,イマイチな特産品に共通するある問題 - JBpress
59,［最前線］農業、ＩＴ学び地方創生…徳島県神山町 高校に科目新設／私立高専開校へ : その他連載 : 教育 : 教育・受験・就活 - 読売新聞
60,「DMOよろず相談所」を新設。観光ベンチャーと連携して「共創型支援」を強化し、観光庁に課題解決手法の定例報告へ。 - PR TIMES
61,【イベント情報】『氷見ベンチャーサミット』開催のお知らせ～コロナ禍における地方創生：富山県氷見市×Panasonic株式会社×ベンチャー企業等16社～ - PR TIMES
62,【事業創造大学院大学】 2月20日（土）に「地方創生×事業創造オンラインセミナー」 を開催 - PR TIMES
63,【WakeAi「地方創生SDGs官民連携プラットフォーム」へ参加】他、新着トレンド2月22日：時事ドットコム - 時事通信
64,明治安田生命×Ｊリーグが健康増進、地方創生で共創 - サッカー - ニッカンスポーツ
65,淡路島の地域創生整備でクラウドファンディング活用 バルニバービ - 住宅新報
66,アングル：統合地銀への補助金、厳格運用求める声 問われる監督姿勢 - Reuters Japan
67,地方創生事業へ１０００万円寄付／岩手・盛岡市 | IBC NEWS - ニュースエコー 岩手放送
68,あめつちデザイン株式会社の地方創生コマースプラットフォーム「cocodake」、飛騨エリアにて本格運用を開始 - PR TIMES
69,【地方創生】不動産情報サービスのアットホームが地域共創プロジェクトを本格化 - FUTURUS
70,鬼北発展へ 町と日本郵便が協定締結 - 愛媛新聞
71,【地方創生支援】日本M&amp;Aセンター、J3リーグ「FC 今治」と地方創生パートナー契約を締結 (2021年3月4日) - エキサイトニュース
72,【地方再生・創生論 203】防災と災害対応に必要な地域の力 日体大理事長 松浪健四郎 - 観光経済新聞
73,日本旅行 人事異動（3月1日付） – 旅行業界・航空業界 最新情報 − 航空新聞社 - 航空新聞社
74,地方創生パートナーズネットワーク、企業や観光庁と連携し「観光地域づくり」を支援：「オンライン商談会」開催に訪日ラボも参画 - 訪日ラボ
75,がん研支援継続を 知事と鶴岡市長ら、国に要望 ／山形 - 毎日新聞
76,失敗の研究、地方創生はなぜうまくいかないのか？（JBpress） - Yahoo!ニュース
77,地方創生SDGs国際フォーラム2021「地方創生SDGsの深化に向けて 国内外の連携を通じた持続可能な発展に向けた取組の加速化」開催報告 | SUSTAINABLE BRANDS JAPAN - 株式会社 博展（サステナブル・ブランド企画推進室）
78,地方創生テレワークの好事例をご紹介！北見市無料オンラインセミナー1月26日（火）開催 - PR TIMES
79,令和2年12月16日 まち・ひと・しごと創生会議 | 令和2年 | 総理の一日 | ニュース - 首相官邸
80,地方創生にESG投資引き込め - 新公民連携最前線
81,INCLUSIVE株式会社が、内閣府「地域創生SDGs 官民連携プラットフォーム」に参画 地域活性化へ向けた取り組み強化を図る - Glocal Mission Times
82,教育玩具の輸入・開発・販売とあそび環境開発を行う株式会社ボーネルンドとスポーツビジネスのトータルプランニングを行う株式会社トリデンテが事業提携。 - PR TIMES
83,「地方創生」の見直しはあるか - 日本経済新聞
84,チャリロトが伊東温泉競輪場施設の所有者になります - PR TIMES
85,地方創生 政策アイデアコンテスト2020最終審査会において九州・沖縄ブロック選出ファイナリストの結果が発表されました - 経済産業省
86,三重県多気町に大型商業リゾート施設「VISON」がオープン 「三重故郷創生プロジェクト」として日本の食や文化を提供 - AXIS
87,政府、地方移住へテレワーク推進 創生戦略の改定を議論 - 秋田魁新報
88,検索せずにはいられない曲『時の旅人』が有線放送「問い合わせランキング」全国9位を獲得！ - アットプレス（プレスリリース）
89,【にほんの里100選】地図にない「天空の村」を応援するSDGsオンラインツアー - PR TIMES
90,地方創生 政策アイデアコンテスト2020「九州経済産業局長賞」を決定しました - 経済産業省
91,化粧品ベンチャーのバルクオム 株式会社刀と資本提携 - PR TIMES
92,地方創生臨時交付金積み増しへ、政府 コロナ拡大で - 日本経済新聞
93,ZOOMで取材可・12/13(日)地方で起業をめざす人材と地方創生最先端の自治体による共同研究成果の発表 - PR TIMES
94,「地方創生」の現在地 分散どころか進んだ東京一極集中 [菅政権発足] - 朝日新聞デジタル
95,国内最高層の木造ビル、国際認証を取得 仙台駅東口 - 河北新報オンライン
96,地方創生に身を焦がす：日経ビジネス電子版 - 日経ビジネスオンライン
97,Biz-Createが日本のビジネスを変える 地方銀行と共に歩むSMBCの挑戦 - ITmedia
98,生き抜く地域・企業に見る、withコロナ時代の地方創生とは｜Glocal Mission Times (グローカルミッションタイムズ） - Glocal Mission Times
99,基調講演に坂本内閣府特命担当大臣のご登壇決定／参加者募集中／2/27（土）開催!! 地方創生ベンチャーサミット2021 supported by KDDI - PR TIMES
100,新型コロナ対策の自治体支援「地方創生臨時交付金」大阪府最多 - NHK NEWS WEB
101,行方市とモリサワが地方創生とSDGs推進を目指した「連携協力に関する包括協定」を締結 - PR TIMES
102,全村民に商品券２万円 上小阿仁村 - 秋田魁新報
103,地方創生臨時交付金サポートサービス『地方創生100』プロジェクトをスタート！脱コロナからの地域経済の再生をサポートします。 - PR TIMES
104,地方創生をアート＆クリエイティビティで促進。宮崎県の地域商社が2020年12月9日（水）にオンライントークセッションを無料配信 - PR TIMES
105,2020年度地方創生SDGs官民連携プラットフォーム マッチングイベントへ登壇 - PR TIMES
106,地方国立大、22年度定員増へ 地方創生戦略を改定 - 日本経済新聞
107,【関係人口】ウィズコロナ時代に関係人口で考える地方創生 - Glocal Mission Times
108,地方創生 政策アイデアコンテスト2020（近畿経済産業局） - 経済産業省
109,フラー、KDDIと地方創生を推進する業務提携を締結 - PR TIMES
110,地方創生 女性の力が重要－坂本担当相と中家全中会長が会談 - 農業協同組合新聞
111,内閣府地方創生推進事務局より発表された「地域未来構想20」の中で参考活動の1つとしてコミュニティナースが紹介されました。 - PR TIMES
,
