,title
120,接待 NTT社長の国会招致検討
121,夫婦別姓 自民が検討PT設置
122,脳性まひ患う女性 刺され死亡
123,ひとことお礼を 消防士と再会
124,スマホ新プラン FC退会リスク
125,負傷した貴景勝 17キロ痩せる
126,終値 65円安の2万8864円
127,内閣官房コロナ室 残業378hも
128,みずほ デジタル口座移行延期
129,GoToトラベル 全国停止継続
130,文字ニュース提供終了へ JR東
131,ウィズコロナ時代に関係人口で考える地方創生③ 副業・兼業などの人材流動化により地域の活性化へ｜Glocal Mission Times (グローカルミッションタイムズ） 
132,地方創生SDGs官民連携プラットフォームへ、WakeAi（ワケアイ）が参加 
133,ヨクト、内閣府運営「地方創生SDGs官民連携プラットフォーム」一員へ 
134,「第4回 地方創生 EXPO」に出展 オンラインライブ配信も実施【2/24-26・千葉】 
135,【イベント情報】fabbit Conference 地方創生～スタートアップと自治体が描くビジネスモデル～を2月25日に開催 
136,地方創生SDGsセミナー「令和時代の地方創生～SDGsで描くサステナブルな未来予想図」を開催 
137,「地方創生SDGsの推進施策とNTTグループの取組み、展望」と題して、内閣府 北廣氏／NTT 吉原氏／ドコモ 有田氏によるセミナーを2021年4月6日（火）ＳＳＫ セミナールームにて開催!! 
138,盛岡駅西口での地方創生賃貸マンション建設に着手します 
139,【自治体向けサービス】サテライトオフィス誘致や移住促進を支援する「地方創生プロジェクト」を始動 
140,活力ある地域づくりはMaaSで 幕張メッセで「地方創生EXPO」開催 
141,再エネで地方創生に挑む地域新電力、6月に供給開始へ 出資は県内企業のみ 
142,三重県多気市に地方創生の商業施設、4月29日に開業、7月にはHIS系列の宿泊施設もオープン 
143,中村雅俊、70歳でBSテレ東新番組MC テーマは「地方創生」 
144,茨城県行方市とモリサワが地方創生とＳＤＧs推進を目指した「連携協力に関する包括協定」の締結に伴う、オンライン調印式を開催 
145,第２期地方創生総合戦略を策定 駒ケ根市 – Nagano Nippo Web 
146,地域創生のための総合情報誌『地域人』第67号特集「地方自治を考える」３月10日発売 
147,サントリーが支援 被災３県、地方創生や地域活性化 
148,群馬県と楽天、地方創生などで連携協定 
149,「孤独」担当、厚労相から坂本地方創生相に 首相が指名 
150,コロナ対策の地方創生臨時交付金 イルミネーション事業や公用車にも（NEWSポストセブン） 
151,地域共創プロジェクトのWebサイトを開設 
152,映像制作×地方創生を強みとするDRAWING AND MANUALが、「スポーツの力で、地域力を高める魔法をかける」をテーマにしたトークイベント『LOCOVISION』開催 
153,南都銀、奈良県御所市 みずほ銀と地方創生の連携協定 
154,地方国立大の定員増容認 22年度から 地方創生寄与が条件 
155,ANA、地方創生ロールモデル「徳島サテライトオフィス」紹介動画を放映 
156,広瀬知事「地方創生を前進させる」 定例大分県議会 
157,基山町で18年ぶりの分譲マンション、地方創生の新たなモデルを目指す（後）：【公式】データ・マックス NETIB-NEWS 
158,イマイチな特産品に共通するある問題 
159,［最前線］農業、ＩＴ学び地方創生…徳島県神山町 高校に科目新設／私立高専開校へ : その他連載 : 教育 : 教育・受験・就活 
160,「DMOよろず相談所」を新設。観光ベンチャーと連携して「共創型支援」を強化し、観光庁に課題解決手法の定例報告へ。 
161,【イベント情報】『氷見ベンチャーサミット』開催のお知らせ～コロナ禍における地方創生：富山県氷見市×Panasonic株式会社×ベンチャー企業等16社～ 
162,【事業創造大学院大学】 2月20日（土）に「地方創生×事業創造オンラインセミナー」 を開催 
163,【WakeAi「地方創生SDGs官民連携プラットフォーム」へ参加】他、新着トレンド2月22日：時事ドットコム 
164,明治安田生命×Ｊリーグが健康増進、地方創生で共創 
165,淡路島の地域創生整備でクラウドファンディング活用 バルニバービ 
166,アングル：統合地銀への補助金、厳格運用求める声 問われる監督姿勢 
167,地方創生事業へ１０００万円寄付／岩手・盛岡市 | IBC NEWS 
168,あめつちデザイン株式会社の地方創生コマースプラットフォーム「cocodake」、飛騨エリアにて本格運用を開始 
169,【地方創生】不動産情報サービスのアットホームが地域共創プロジェクトを本格化 
170,鬼北発展へ 町と日本郵便が協定締結 
171,【地方創生支援】日本M&amp;Aセンター、J3リーグ「FC 今治」と地方創生パートナー契約を締結 (2021年3月4日) 
172,【地方再生・創生論 203】防災と災害対応に必要な地域の力 日体大理事長 松浪健四郎 
173,日本旅行 人事異動（3月1日付） – 旅行業界・航空業界 最新情報 − 航空新聞社 
174,地方創生パートナーズネットワーク、企業や観光庁と連携し「観光地域づくり」を支援：「オンライン商談会」開催に訪日ラボも参画 
175,がん研支援継続を 知事と鶴岡市長ら、国に要望 ／山形 
176,失敗の研究、地方創生はなぜうまくいかないのか？（JBpress） 
177,地方創生SDGs国際フォーラム2021「地方創生SDGsの深化に向けて 国内外の連携を通じた持続可能な発展に向けた取組の加速化」開催報告 | SUSTAINABLE BRANDS JAPAN 
178,地方創生テレワークの好事例をご紹介！北見市無料オンラインセミナー1月26日（火）開催 
179,令和2年12月16日 まち・ひと・しごと創生会議 | 令和2年 | 総理の一日 | ニュース 
180,地方創生にESG投資引き込め 
181,INCLUSIVE株式会社が、内閣府「地域創生SDGs 官民連携プラットフォーム」に参画 地域活性化へ向けた取り組み強化を図る 
182,教育玩具の輸入・開発・販売とあそび環境開発を行う株式会社ボーネルンドとスポーツビジネスのトータルプランニングを行う株式会社トリデンテが事業提携。 
183,「地方創生」の見直しはあるか 
184,チャリロトが伊東温泉競輪場施設の所有者になります 
185,地方創生 政策アイデアコンテスト2020最終審査会において九州・沖縄ブロック選出ファイナリストの結果が発表されました 
186,三重県多気町に大型商業リゾート施設「VISON」がオープン 「三重故郷創生プロジェクト」として日本の食や文化を提供 
187,政府、地方移住へテレワーク推進 創生戦略の改定を議論 
188,検索せずにはいられない曲『時の旅人』が有線放送「問い合わせランキング」全国9位を獲得！ 
189,【にほんの里100選】地図にない「天空の村」を応援するSDGsオンラインツアー 
190,地方創生 政策アイデアコンテスト2020「九州経済産業局長賞」を決定しました 
191,化粧品ベンチャーのバルクオム 株式会社刀と資本提携 
192,地方創生臨時交付金積み増しへ、政府 コロナ拡大で 
193,ZOOMで取材可・12/13(日)地方で起業をめざす人材と地方創生最先端の自治体による共同研究成果の発表 
194,「地方創生」の現在地 分散どころか進んだ東京一極集中 [菅政権発足] 
195,国内最高層の木造ビル、国際認証を取得 仙台駅東口 
196,地方創生に身を焦がす：日経ビジネス電子版 
197,Biz-Createが日本のビジネスを変える 地方銀行と共に歩むSMBCの挑戦 
198,生き抜く地域・企業に見る、withコロナ時代の地方創生とは｜Glocal Mission Times (グローカルミッションタイムズ） 
199,基調講演に坂本内閣府特命担当大臣のご登壇決定／参加者募集中／2/27（土）開催!! 地方創生ベンチャーサミット2021 supported by KDDI 
200,新型コロナ対策の自治体支援「地方創生臨時交付金」大阪府最多 
201,行方市とモリサワが地方創生とSDGs推進を目指した「連携協力に関する包括協定」を締結 
202,全村民に商品券２万円 上小阿仁村 
203,地方創生臨時交付金サポートサービス『地方創生100』プロジェクトをスタート！脱コロナからの地域経済の再生をサポートします。 
204,地方創生をアート＆クリエイティビティで促進。宮崎県の地域商社が2020年12月9日（水）にオンライントークセッションを無料配信 
205,2020年度地方創生SDGs官民連携プラットフォーム マッチングイベントへ登壇 
206,地方国立大、22年度定員増へ 地方創生戦略を改定 
207,【関係人口】ウィズコロナ時代に関係人口で考える地方創生 
208,地方創生 政策アイデアコンテスト2020（近畿経済産業局） 
209,フラー、KDDIと地方創生を推進する業務提携を締結 
210,地方創生 女性の力が重要－坂本担当相と中家全中会長が会談 
211,内閣府地方創生推進事務局より発表された「地域未来構想20」の中で参考活動の1つとしてコミュニティナースが紹介されました。 
