,title,len
60,"['ニュー', 'ノーマル', '生活', '様式', '寄り添う', 'わたし', 'まち', 'スタート', 'アップ']",9
61,"['ここ', 'いろ', '山口', '県', '周', '南市', '移住', '者', '始まっ', '地域', '一体', '町', 'づくり']",13
62,"['ワーケーション', '検討', 'する', 'チェック', 'いま', '話題', 'ワーケーション', '支援', 'する', '自治体', '取り組み', 'まとめ', '東日本', '編']",14
63,"['子ども', '出発', '支援', '長期', '欠席', '学校', '社会', '完全', '復帰', '翼', '学園']",11
64,"['蔵', '街', '並み', '酒造り', '伝統', '生かす']",6
65,"['苗木', '育て', '里山', '花', '名所', '焼津', '市', '山の手', '未来', '会']",10
66,"['ミカン', '柱', '地域', 'づくり', '小田原', '柑橘', '倶楽部']",7
67,"['温泉', '街', '電気', 'バス', '走る', 'でん', 'き', '宇奈月', 'プロジェクト']",9
68,"['サボテン', '生産', '量', '日本一', '愛知', '春日井', '市民', 'サボテン', '顔', '洗う', '!?', '市民', '一緒', 'つくっ', '国産', 'サボテンコスメブランド', 'SABO', 'LABO', '誕生']",19
69,"['アフター', 'コロナ', '地方', '創', '生', '加速', 'する', '方法', 'あっ', '驚き', '作戦']",11
70,"['オープン', '1', '周年', '迎え', 'ますます', '人気', '高まる', '山形', '河北', '町', 'アンテナショップ', 'ほ', 'くらし']",13
71,"['700', '人', '村', 'ひとつ', 'ホテル', 'NIPPONIA', '小菅', '源流', '村', '棟', '崖', '家', 'オープン']",13
72,"['有明海', '臨む', '熊本', '県', '宇土', '市', '自然', 'つくる', 'ふるさと', '景色']",10
73,"['繋がり', '生まれる', '場', 'ロックヒルズガーデン', '川崎', '新しい', '集い', '空間']",8
74,"['オリーブ', '畑', '美味しい', 'ごはん', 'オキオリーブ', 'ガーデン', 'カフェ', '広がる', 'コミュニティー']",9
75,"['都心', '手', '届く', '自然', '茨城', '県', '大子', '町', '滝', '温泉', 'としゃ', 'もと']",12
76,"['五感', 'すべて', '満喫', '福岡', '県', 'うきは', '市', '人', '森', '出会う', 'まち']",11
77,"['千葉', '魅力', '触れる', '限定', 'ショップ', '千葉', '県', 'アンテナショップ']",8
78,"['カモミール', '畑', '迎える', '癒し', '宿', 'カミツレ', '宿', '八', '寿恵', '荘']",10
79,"['紅花', '彩る', '歴史', '育ん', '豊か', '文化', '息づく', '町', '山形', '県', '河北', '町']",12
80,"['世界', '農業', '遺産', '認定', '日本', '誇る', 'ふるさと', '暮らし', '高千穂', '郷', '椎葉', '山地', '域']",13
81,"['地域', 'はぐくむ', 'し', 'ごと', 'づくり']",5
82,"['南', '房総', '市', '地域おこし']",4
83,"['協力', '隊', '町', 'ひとつ', 'なる', '富山', '県', '朝日', '町', '心', '繋がり', '信頼', '大事', 'する', '関係', 'づくり']",16
84,"['移住', '受け入れ', '40', '年', '歴史', 'もつ', '色川', '地区', '考える']",9
85,"['開拓', '歴史', '感じる', '農業', 'まち', '市', 'まち', '地域おこし']",8
86,"['移住', '者', 'たち', '活躍', '秋田', '県', '大館', '市', '若者', 'たち', '変わっ', 'いく']",12
87,"['シャッター', '通り', '数', '年', '人', '集まる', 'エリア', '変貌', '新潟', '市', '沼垂', 'テラス', '商店', '街', '高岡', 'はつえ', 'さん', '目指す', '故郷', 'あり', 'かた']",21
88,"['町', 'アグリ', 'アート', 'Re', ':', 'design', 'する']",7
89,"['りんご', 'にんにく', 'なく', '青森', 'いちご', '川名', 'さん', '田子', '町', '実践', 'する', 'シェア', '始める', '農村', 'ライフ']",15
90,"['地産', '素材', '活かし', '葛巻', '町', 'ならでは', 'スイーツ', '新た', '味', '力', 'づくり']",11
91,"['まち', '観光', '産業', '支える', 'くず', 'まき', '高原', '牧場', '地域', '資源', '活用', 'し', '魅力', '向上', '担う']",15
92,"['玉山', '地域', '人', '呼び込む', '仕掛け', '人', '募集', '石川', '啄木', 'ふるさと', '玉山', '活動', 'する', '盛岡', '市', '地域おこし']",16
93,"['伊勢神宮', 'ゆかり', '地', '挑む', '新しい', '伝統', 'づくり', 'プロジェクト']",8
94,"['田んぼ', 'アート', 'NEXT', 'つくる', '弥生', '時代', '米どころ', '青森', '県', '田舎館', '村', '取り組み']",12
95,"['最果て', '始まっ', '最先端', 'プロジェクト', 'ヨソモノ', '漁業', '変える', '漁師', '縁組', '事業']",10
96,"['八戸', 'ワイン', '世界', 'これから', '始まる', '八戸', 'ワイン', '産業', '創出', 'プロジェクト']",10
97,"['ほしい', '暮らし', '自分', 'つくる', '遊休', '不動産', '活用', 'し', 'リノベーション', 'まち', 'づくり']",11
98,"['地域', 'づくり', '魅せ', '平均', '年齢', '70', '歳', '過疎', '地域', 'やってき', '若者', '挑戦']",12
99,"['手つかず', '自然', '残る', '本土', '最南端', '町', '南', '大隅', '町', '取り組む', '観光', '福祉']",12
100,"['速報', '渋野', '日向子', '67', '通算', '6', 'アンダー', '上位', '戦線', '-', 'ゴルフ', 'ダイジェスト', 'オンライン']",13
101,"['ポケモン', '25', '周年', '記念', 'ポケモン', 'GO', 'ポケモンカードゲーム', 'コラボ', '決定', '1', '弾', '今夏', 'ウィロー', '博士', 'ポケモンカード', '登場', '-', '4', 'Gamer', '.', 'net']",21
102,"['吉田', '鋼', '太郎', '62', '歳', '女児', '誕生', '新しい', '命', '誕生', '歓び', '責任', '感じ', 'おり', '-', 'スポニチアネックス', 'Sponichi', 'Annex']",18
103,"['福原', '愛', 'さん', '夫', '江', '氏', '声明', '誤っ', 'ゴシップ', '断言', '-', 'ニッカンスポーツ']",12
104,"['東京', '都', 'ワクチン', '配布', 'まず', '4', '月', '5', '日', '世田谷', '八王子', '-', '日本経済新聞']",13
105,"['東北新社', '放送', '法', '外資', '規制', '違反', '武田', '総務', '相', '-', 'NHK', 'NEWS', 'WEB']",13
106,"['Starship', 'テスト', '飛行', '着陸', '成功', '爆発', '-', 'GIZMODO', 'JAPAN']",9
107,"['焦点', '楽観', '砕い', 'コロナ', '変異', '種', '免疫', '仮説', '抜本', '修正', '必要', '-', 'ロイター', '(', 'Reuters', 'Japan', ')']",17
108,"['福岡', '5', '歳児', '餓死', '親族', '引き取り', '相談', '児', '相', '会見', '公表', 'せ', '-', '毎日新聞', '-', '毎日新聞']",16
109,"['PCIe', '4', '.', '0', 'SSD', 'スピード', 'Core', 'H', '35', '快適', '新型', 'VAIO', 'Z', '徹底', '解説', '後編', '1', '/', '3', 'ページ', '-', '-', 'ITmedia']",23
110,"['サラー', '代理人', '意味', '深', 'ツイート', 'チェルシー', '戦', '交代', '直後', '投稿', 'し', '内容', '-', 'SOCCER', 'KING']",15
111,"['東京', '株式', '大幅', '安', '米', '株', '下落', '輸出', '株', '売り', '5', '日', '前場', '差', '替', '-', 'ニュース', 'コラム', '-', 'Y', '!', 'ファイナンス', '-', 'Yahoo', '!', 'ファイナンス']",26
112,"['１', '都', '３', '県', '緊急', '事態', '宣言', '延長', '政府', '決定', '２', '１', '日', '２', '週間', '-', '読売新聞']",17
113,"['福島', '県', '新た', '19', '人', '新型', 'コロナ', '感染', '確認', '郡山', '11', '人', '福島', '３', '人', '-', '福島', '民', '友']",19
114,"['イタリア', '新型', 'コロナ', 'ワクチン', '輸出', '差し止め', 'EU', '初めて', '-', 'NHK', 'NEWS', 'WEB']",12
115,"['襲撃', '情報', '議会', '周辺', '厳戒', '態勢', '武装', '組織', '計画', '情報', '-', 'FNN', 'プライム', 'オンライン']",14
116,"['ショート', '一', '本', '中日', '根尾', '昂', 'なぜ', '突然', '外野', '起用', 'さ', 'の', 'べた', '褒め', '与田', '監督', '思惑', '小西', '斗', '真', '-', 'Number', 'Web', '-', 'ナンバー']",25
117,"['静岡放送', 'FRIDAY', '報道', '謝罪', '-', 'auone', '.', 'jp']",8
118,"['外為', '10', '時', '円', '107', '円', '台', '後半', '下げ渋り', '中値', '偏り', 'なし', '声', '-', '日本経済新聞']",15
119,"['中国', '21', '年', '成長', '目標', '6', '%', '以上', '全人代', '開幕', '写真', '=', '共同', '-', '日本経済新聞']",15
120,"['接待', 'NTT', '社長', '国会', '招致', '検討']",6
121,"['夫婦', '別姓', '自民', '検討', 'PT', '設置']",6
122,"['脳性', 'まひ', '患う', '女性', '刺さ', '死亡']",6
123,"['ひとこと', 'お礼', '消防', '士', '再会']",5
124,"['スマホ', 'プラン', 'FC', '退会', 'リスク']",5
125,"['負傷', 'し', '景勝', '17', 'キロ', '痩せる']",6
126,"['終値', '65', '円', '安', '2', '万', '8864', '円']",8
127,"['内閣', '官房', 'コロナ', '室', '残業', '378', 'h']",7
128,"['みずほ', 'デジタル', '口座', '移行', '延期']",5
129,"['GoTo', 'トラベル', '全国', '停止', '継続']",5
130,"['文字', 'ニュース', '提供', '終了', 'JR', '東']",6
131,"['ウィズ', 'コロナ', '時代', '関係', '人口', '考える', '地方', '創', '生', '③', '副業', '兼業', '人材', '流動', '化', '地域', '活性', '化', 'Glocal', 'Mission', 'Times', '(', 'グローカルミッションタイムズ', '-', 'Glocal', 'Mission', 'Times']",27
132,"['地方', '創', '生', 'SDGs', '官民', '連携', 'プラットフォーム', 'WakeAi', 'ワケアイ', '参加', '-', 'PR', 'TIMES']",13
133,"['ヨクト', '内閣', '府', '運営', '地方', '創', '生', 'SDGs', '官民', '連携', 'プラットフォーム', '一員', '-', 'PR', 'TIMES']",15
134,"['4', '回', '地方', '創', '生', 'EXPO', '出展', 'オンライン', 'ライブ', '配信', '実施', '2', '/', '24', '-', '26', '千葉', '-', 'PR', 'TIMES']",20
135,"['イベント', '情報', 'fabbit', 'Conference', '地方', '創', '生', '～', 'スタート', 'アップ', '自治体', '描く', 'ビジネス', 'モデル', '～', '2', '月', '25', '日', '開催', '-', 'PR', 'TIMES']",23
136,"['地方', '創', '生', 'SDGs', 'セミナー', '令和', '時代', '地方', '創', '生', '～', 'SDGs', '描く', 'サステナブル', '未来', '予想', '図', '開催', '-', '時事通信']",20
137,"['地方', '創', '生', 'SDGs', '推進', '施策', 'NTT', 'グループ', '取組み', '展望', '題し', '内閣', '府', '北', '廣', '氏', 'NTT', '吉原', '氏', 'ドコモ', '有田', '氏', 'セミナー', '2021', '年', '4', '月', '6', '日', '火', 'ＳＳＫ', 'セミナー', 'ルーム', '開催', '!!', '-', 'PR', 'TIMES']",38
138,"['盛岡', '駅', '西口', '地方', '創', '生', '賃貸', 'マンション', '建設', '着手', 'し', '-', 'PR', 'TIMES']",14
139,"['自治体', '向け', 'サービス', 'サテライト', 'オフィス', '誘致', '移住', '促進', '支援', 'する', '地方', '創', '生', 'プロジェクト', '始動', '-', 'PR', 'TIMES']",18
140,"['活力', 'ある', '地域', 'づくり', 'MaaS', '幕張メッセ', '地方', '創', '生', 'EXPO', '開催', '-', '鉄道', 'チャンネル']",14
141,"['エネ', '地方', '創', '生', '挑む', '地域', '電力', '6', '月', '供給', '開始', '出資', '県内', '企業', '-', '環境', 'ビジネス', 'オンライン']",18
142,"['三重', '県', '多気', '市', '地方', '創', '生', '商業', '施設', '4', '月', '29', '日', '開業', '7', '月', 'HIS', '系列', '宿泊', '施設', 'オープン', '-', 'トラベル', 'ボイス', '公式']",25
143,"['中村', '雅俊', '70', '歳', 'BS', 'テレ', '東新', '番組', 'MC', 'テーマ', '地方', '創', '生', '-', '沖縄タイムス']",15
144,"['茨城', '県', '行方', '市', 'モリサワ', '地方', '創', '生', 'ＳＤＧs', '推進', '目指し', '連携', '協力', '包括', '協定', '締結', '伴う', 'オンライン', '調印', '式', '開催', '-', 'PR', 'TIMES']",24
145,"['２', '期', '地方', '創', '生', '総合', '戦略', '策定', '駒ケ根', '市', '–', 'Nagano', 'Nippo', 'Web', '-', '長野', '日報']",17
146,"['地域', '創', '生', 'ため', '総合', '情報', '誌', '地域', '人', '67', '号', '特集', '地方', '自治', '考える', '３月', '10', '日', '発売', '-', 'PR', 'TIMES']",22
147,"['サントリー', '支援', '被災', '３', '県', '地方', '創', '生', '地域', '活性', '化', '-', '47', 'NEWS']",14
148,"['群馬', '県', '楽天', '地方', '創', '生', '連携', '協定', '-', '日本経済新聞']",10
149,"['孤独', '担当', '厚', '労相', '坂本', '地方', '創', '生', '相', '首相', '指名', '-', '朝日新聞', 'デジタル']",14
150,"['コロナ', '対策', '地方', '創', '生', '臨時', '交付', '金', 'イルミネーション', '事業', '公用', '車', 'NEWS', 'ポスト', 'セブン', '-', 'Yahoo', '!', 'ニュース', '-', 'Yahoo', '!', 'ニュース']",23
151,"['地域', '共', '創', 'プロジェクト', 'Web', 'サイト', '開設', '-', 'PR', 'TIMES']",10
152,"['映像', '制作', '地方', '創', '生', '強み', 'する', 'DRAWING', 'AND', 'MANUAL', 'スポーツ', '力', '地域', '力', '高める', '魔法', 'かける', 'テーマ', 'し', 'トーク', 'イベント', 'LOCOVISION', '開催', '-', 'PR', 'TIMES']",26
153,"['南', '都銀', '奈良', '県', '御所', '市', 'みずほ', '銀', '地方', '創', '生', '連携', '協定', '-', '日本経済新聞']",15
154,"['地方', '国立', '大', '定員', '増', '容認', '22', '年度', '地方', '創', '生', '寄与', '条件', '-', '毎日新聞', '-', '毎日新聞']",17
155,"['ANA', '地方', '創', '生', 'ロールモデル', '徳島', 'サテライト', 'オフィス', '紹介', '動画', '放映', '-', 'FlyTeam']",13
156,"['広瀬', '知事', '地方', '創', '生', '前進', 'さ', '定例', '大分', '県議会', '-', '大分', 'ニュース', '大分', '合同', '新聞', 'プレミアム', 'オンライン', 'Gate', '-', '大分', '合同', '新聞']",23
157,"['基山', '町', '18', '年', 'ぶり', '分譲', 'マンション', '地方', '創', '生', '新た', 'モデル', '目指す', '後', '公式', 'データ', 'マックス', 'NETIB', '-', 'NEWS', '-', 'NET', '-', 'IB', 'NEWS']",25
158,"['イマイチ', '特産', '品', '共通', 'する', '問題', '-', 'JBpress']",8
159,"['最前線', '農業', 'ＩＴ', '学び', '地方', '創', '生', '徳島', '県', '神山', '町', '高校', '科目', '新設', '私立', '高専', '開校', ':', 'その他', '連載', ':', '教育', ':', '教育', '受験', '就活', '-', '読売新聞']",28
160,"['DMO', 'よろず', '相談', '所', '新設', '観光', 'ベンチャー', '連携', 'し', '創', '型', '支援', '強化', 'し', '観光', '庁', '課題', '解決', '手法', '定例', '報告', '-', 'PR', 'TIMES']",24
161,"['イベント', '情報', '氷見', 'ベンチャー', 'サミット', '開催', 'お知らせ', '～', 'コロナ', '禍', '地方', '創', '生', '富山', '県', '氷見', '市', 'Panasonic', '株式会社', 'ベンチャー', '企業', '等', '16', '社', '～', '-', 'PR', 'TIMES']",28
162,"['事業', '創造', '大学院', '大学', '2', '月', '20', '日', '土', '地方', '創', '生', '事業', '創造', 'オンライン', 'セミナー', '開催', '-', 'PR', 'TIMES']",20
163,"['WakeAi', '地方', '創', '生', 'SDGs', '官民', '連携', 'プラットフォーム', '参加', '他', '新着', 'トレンド', '2', '月', '22', '日', '時事', 'ドット', 'コム', '-', '時事通信']",21
164,"['明治', '安田', '生命', 'Ｊリーグ', '健康', '増進', '地方', '創', '生', '創', '-', 'サッカー', '-', 'ニッカンスポーツ']",14
165,"['淡路島', '地域', '創', '生', '整備', 'クラウドファンディング', '活用', 'バルニバービ', '-', '住宅', '新報']",11
166,"['アングル', '統合', '地銀', '補助', '金', '厳格', '運用', '求める', '声', '問わ', '監督', '姿勢', '-', 'Reuters', 'Japan']",15
167,"['地方', '創', '生', '事業', '１', '０', '０', '０', '万', '円', '寄付', '岩手', '盛岡', '市', '|', 'IBC', 'NEWS', '-', 'ニュース', 'エコー', '岩手', '放送']",22
168,"['あめ', 'ち', 'デザイン', '株式会社', '地方', '創', '生', 'コマースプラットフォーム', 'cocodake', '飛騨', 'エリア', '本格', '運用', '開始', '-', 'PR', 'TIMES']",17
169,"['地方', '創', '生', '不動産', '情報', 'サービス', 'アットホーム', '地域', '共', '創', 'プロジェクト', '本格', '化', '-', 'FUTURUS']",15
170,"['鬼', '北', '発展', '町', '日本', '郵便', '協定', '締結', '-', '愛媛', '新聞']",11
171,"['地方', '創', '生', '支援', '日本', 'M', '&', 'amp', ';', 'A', 'センター', 'J', '3', 'リーグ', 'FC', '今治', '地方', '創', '生', 'パートナー', '契約', '締結', '(', '2021', '年', '3', '月', '4', '日', ')', '-', 'エキサイト', 'ニュース']",33
172,"['地方', '再生', '創', '生', '論', '203', '防災', '災害', '対応', '必要', '地域', '力', '日体大', '理事', '長', '松浪', '健四郎', '-', '観光', '経済', '新聞']",21
173,"['日本旅行', '人事', '異動', '3', '月', '1', '日', '付', '–', '旅行', '業界', '航空', '業界', '最新', '情報', '航空', '新聞', '社', '-', '航空', '新聞', '社']",22
174,"['地方', '創', '生', 'パートナーズネットワーク', '企業', '観光', '庁', '連携', 'し', '観光', '地域', 'づくり', '支援', 'オンライン', '商談', '会', '開催', '訪日', 'ラボ', '参画', '-', '訪日', 'ラボ']",23
175,"['がん', '研', '支援', '継続', '知事', '鶴岡', '市長', 'ら', '国', '要望', '山形', '-', '毎日新聞']",13
176,"['失敗', '研究', '地方', '創', '生', 'なぜ', 'うまく', 'いか', 'の', 'JBpress', '-', 'Yahoo', '!', 'ニュース']",14
177,"['地方', '創', '生', 'SDGs', '国際', 'フォーラム', '2021', '地方', '創', '生', 'SDGs', '深化', '向け', '国内外', '連携', '通じ', '持続', '可能', '発展', '向け', '取組', '加速', '化', '開催', '報告', '|', 'SUSTAINABLE', 'BRANDS', 'JAPAN', '-', '株式会社', '博', '展', 'サステナブル・ブランド', '企画', '推進', '室']",37
178,"['地方', '創', '生', 'テレ', 'ワーク', '事例', '紹介', '北見', '市', '無料', 'オンライン', 'セミナー', '1', '月', '26', '日', '火', '開催', '-', 'PR', 'TIMES']",21
179,"['令和', '2', '年', '12', '月', '16', '日', 'まち', 'ひと', 'し', 'ごと', '創', '生', '会議', '|', '令和', '2', '年', '|', '総理', '一', '日', '|', 'ニュース', '-', '首相', '官邸']",27
180,"['地方', '創', '生', 'ESG', '投資', '引き込め', '-', '公民', '連携', '最前線']",10
181,"['INCLUSIVE', '株式会社', '内閣', '府', '地域', '創', '生', 'SDGs', '官民', '連携', 'プラットフォーム', '参画', '地域', '活性', '化', '向け', '取り組み', '強化', '図る', '-', 'Glocal', 'Mission', 'Times']",23
182,"['教育', '玩具', '輸入', '開発', '販売', 'あそび', '環境', '開発', '行う', '株式会社', 'ボーネルンド', 'スポーツ', 'ビジネス', 'トータル', 'プランニング', '行う', '株式会社', 'トリデンテ', '事業', '提携', '-', 'PR', 'TIMES']",23
183,"['地方', '創', '生', '見直し', 'ある', '-', '日本経済新聞']",7
184,"['チャリロト', '伊', '東温泉', '競輪', '場', '施設', '所有', '者', 'なり', '-', 'PR', 'TIMES']",12
185,"['地方', '創', '生', '政策', 'アイデア', 'コンテスト', '2020', '最終', '審査', '会', '九州', '沖縄', 'ブロック', '選出', 'ファイナリスト', '結果', '発表', 'さ', '-', '経済', '産業', '省']",22
186,"['三重', '県', '多気', '町', '大型', '商業', 'リゾート', '施設', 'VISON', 'オープン', '三重', '故郷', '創', '生', 'プロジェクト', '日本', '食', '文化', '提供', '-', 'AXIS']",21
187,"['政府', '地方', '移住', 'テレワーク', '推進', '創', '生', '戦略', '改定', '議論', '-', '秋田', '魁', '新報']",14
188,"['検索', 'せ', 'い', '曲', '時', '旅人', '有線', '放送', '問い合わせ', 'ランキング', '全国', '9', '位', '獲得', '-', 'アットプレス', 'プレス', 'リリース']",18
189,"['里', '100', '選', '地図', 'ない', '天空', '村', '応援', 'する', 'SDGs', 'オンライン', 'ツアー', '-', 'PR', 'TIMES']",15
190,"['地方', '創', '生', '政策', 'アイデア', 'コンテスト', '2020', '九州', '経済', '産業', '局長', '賞', '決定', 'し', '-', '経済', '産業', '省']",18
191,"['化粧', '品', 'ベンチャー', 'バルクオム', '株式会社', '刀', '資本', '提携', '-', 'PR', 'TIMES']",11
192,"['地方', '創', '生', '臨時', '交付', '金', '積み増し', '政府', 'コロナ', '拡大', '-', '日本経済新聞']",12
193,"['ZOOM', '取材', '可', '12', '/', '13', '(', '日', ')', '地方', '起業', 'めざす', '人材', '地方', '創', '生', '最先端', '自治体', '共同', '研究', '成果', '発表', '-', 'PR', 'TIMES']",25
194,"['地方', '創', '生', '現在地', '分散', '進ん', '東京', '一', '極', '集中', '[', '菅', '政権', '発足', ']', '-', '朝日新聞', 'デジタル']",18
195,"['国内', '最高', '層', '木造', 'ビル', '国際', '認証', '取得', '仙台', '駅', '東口', '-', '河北', '新報', 'オンライン']",15
